symbol;name;sector;industry;weight;
LHX;L3Harris Technologies Inc;Industrials;Aerospace & Defense;0.121203;
SNPS;Synopsys Inc.;Information Technology;Application Software;0.121419;
PSA;Public Storage;Real Estate;Specialized REITs;0.122098;
GD;General Dynamics Corporation;Industrials;Aerospace & Defense;0.124079;
CARR;Carrier Global Corp.;Industrials;Building Products;0.124337;
IQV;IQVIA Holdings Inc;Health Care;Life Sciences Tools & Services;0.124411;
VRTX;Vertex Pharmaceuticals Incorporated;Health Care;Biotechnology;0.124582;
GPN;Global Payments Inc.;Information Technology;Data Processing & Outsourced Services;0.125612;
A;Agilent Technologies Inc.;Health Care;Health Care Equipment;0.125978;
INFO;IHS Markit Ltd.;Industrials;Research & Consulting Services;0.126881;
MET;MetLife Inc.;Financials;Life & Health Insurance;0.126994;
ALGN;Align Technology Inc.;Health Care;Health Care Supplies;0.127548;
TEL;TE Connectivity Ltd.;Information Technology;Electronic Manufacturing Services;0.127795;
ROP;Roper Technologies Inc.;Industrials;Industrial Conglomerates;0.12781;
EXC;Exelon Corporation;Utilities;Multi-Utilities;0.128235;
FCX;Freeport-McMoRan Inc.;Materials;Copper;0.128286;
TWTR;Twitter Inc.;Communication Services;Interactive Media & Services;0.129583;
DG;Dollar General Corporation;Consumer Discretionary;General Merchandise Stores;0.131752;
AIG;American International Group Inc.;Financials;Property & Casualty Insurance;0.133288;
JCI;Johnson Controls International plc;Industrials;Building Products;0.133845;
MSCI;MSCI Inc. Class A;Financials;Financial Exchanges & Data;0.134685;
