symbol,name,sector,weight
TRV,Travelers Companies Inc.,Financials,0.10395
TSCO,Tractor Supply Company,Consumer Discretionary,0.061279
TSLA,Tesla Inc,Consumer Discretionary,1.718355
TSN,Tyson Foods Inc. Class A,Consumer Staples,0.062633
TT,Trane Technologies plc,Industrials,0.114372
TTWO,Take-Two Interactive Software Inc.,Communication Services,0.051009
TWTR,Twitter Inc.,Communication Services,0.129583
TXN,Texas Instruments Incorporated,Information Technology,0.485588
TXT,Textron Inc.,Industrials,0.042921
TYL,Tyler Technologies Inc.,Information Technology,0.05092
UA,Under Armour Inc. Class C,Consumer Discretionary,0.009789
UAA,Under Armour Inc. Class A,Consumer Discretionary,0.010874
UAL,United Airlines Holdings Inc.,Industrials,0.044321
UDR,UDR Inc.,Real Estate,0.040701
UHS,Universal Health Services Inc. Class B,Health Care,0.02755
ULTA,Ulta Beauty Inc,Consumer Discretionary,0.055531
UNH,UnitedHealth Group Incorporated,Health Care,1.006401
UNP,Union Pacific Corporation,Industrials,0.371469
UPS,United Parcel Service Inc. Class B,Industrials,0.354984
URI,United Rentals Inc.,Industrials,0.069324
USB,U.S. Bancorp,Financials,0.224336
V,Visa Inc. Class A,Information Technology,1.026847
VFC,V.F. Corporation,Consumer Discretionary,0.059197
VIAC,ViacomCBS Inc. Class B,Communication Services,0.065033
VLO,Valero Energy Corporation,Energy,0.082406
VMC,Vulcan Materials Company,Materials,0.060932
VNO,Vornado Realty Trust,Real Estate,0.018493
VRSK,Verisk Analytics Inc,Industrials,0.088546
VRSN,VeriSign Inc.,Information Technology,0.054753
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,0.124582
VTR,Ventas Inc.,Real Estate,0.055485
VTRS,Viatris Inc.,Health Care,0.044542
VZ,Verizon Communications Inc.,Communication Services,0.612241
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,0.045925
WAT,Waters Corporation,Health Care,0.058151
WBA,Walgreens Boots Alliance Inc,Consumer Staples,0.091716
WDC,Western Digital Corporation,Information Technology,0.047631
WEC,WEC Energy Group Inc,Utilities,0.076069
WELL,Welltower Inc.,Real Estate,0.093226
WFC,Wells Fargo & Company,Financials,0.53429
WHR,Whirlpool Corporation,Consumer Discretionary,0.034985
WLTW,Willis Towers Watson Public Limited Company,Financials,0.085096
WM,Waste Management Inc.,Industrials,0.1575
WMB,Williams Companies Inc.,Energy,0.089917
WMT,Walmart Inc.,Consumer Staples,0.529676
WRB,W. R. Berkley Corporation,Financials,0.028822
WRK,WestRock Company,Materials,0.037188
WST,West Pharmaceutical Services Inc.,Health Care,0.083001
WU,Western Union Company,Information Technology,0.022598
WY,Weyerhaeuser Company,Real Estate,0.072669
WYNN,Wynn Resorts Limited,Consumer Discretionary,0.024457
XEL,Xcel Energy Inc.,Utilities,0.092465
XLNX,Xilinx Inc.,Information Technology,0.101956
XOM,Exxon Mobil Corporation,Energy,0.707718
XRAY,DENTSPLY SIRONA Inc.,Health Care,0.034135
XYL,Xylem Inc.,Industrials,0.059858
YUM,Yum! Brands Inc.,Consumer Discretionary,0.099124
ZBH,Zimmer Biomet Holdings Inc.,Health Care,0.08297
ZBRA,Zebra Technologies Corporation Class A,Information Technology,0.073449
ZION,Zions Bancorporation N.A.,Financials,0.027903
ZTS,Zoetis Inc. Class A,Health Care,0.252608
